G,R,X,Y,UID,GR
large,NE,4.573215326,5.592180037,1,LN
large,NE,1.471984025,2.04989949,2,LN
large,W,0.990758479,1.566962451,3,LW
large,W,0.723410953,0.964334966,4,LW
large,W,0.990758479,0.985211206,5,LW
large,W,0.723410953,0.811242533,6,LW
large,SE,2.380965614,1.384364931,7,LS
large,W,0.669941447,0.441593895,8,LW
large,NE,0.456063427,0.242017032,9,LN
large,W,1.41851452,0.570191538,10,LW
large,SE,0.349124416,0.167697615,11,LS
large,NE,0.669941447,0.237006734,12,LN
large,NE,0.563002437,0.188852205,13,LN
large,SE,0.295654911,0.020728879,14,LS
large,W,-0.078631625,-0.125404807,15,LW
large,W,0.563002437,-0.046631791,16,LW
large,W,-0.239040141,-0.239249907,17,LW
large,NE,0.509532932,-0.110095564,18,LN
large,W,0.295654911,-0.201394323,19,LW
small,NE,-0.399448656,-0.347806359,20,SN
large,NE,-0.239040141,-0.319414672,21,LN
small,W,-0.452918162,-0.372857848,22,SW
small,NE,-0.506387667,-0.381765044,23,SN
small,NE,-0.399448656,-0.380094945,24,SN
large,W,0.135246395,-0.296589982,25,LW
small,W,-0.506387667,-0.404311385,26,SW
large,NE,-0.185570636,-0.365064052,27,LN
large,W,0.028307385,-0.333888865,28,LW
small,NE,-0.666796182,-0.455249412,29,SN
large,W,-0.078631625,-0.388445441,30,LW
small,NE,-0.452918162,-0.443002018,31,SN
large,SE,-0.02516212,-0.39178564,32,LS
large,NE,-0.185570636,-0.420177328,33,LN
large,W,-0.078631625,-0.407929933,34,LW
small,SE,-0.773735193,-0.487537998,35,SS
small,SE,-0.987613214,-0.512032787,36,SS
small,W,-0.399448656,-0.452744263,37,SW
small,SE,-0.666796182,-0.481971001,38,SS
small,W,-0.452918162,-0.466383407,39,SW
small,W,-0.452918162,-0.474177204,40,SW
small,NE,-1.148021729,-0.555455368,41,SN
large,W,-0.239040141,-0.479744201,42,LW
small,SE,-0.773735193,-0.524280182,43,SS
small,NE,-0.987613214,-0.542094574,44,SN
small,NE,-0.987613214,-0.547104872,45,SN
small,SE,-0.987613214,-0.547104872,46,SS
small,NE,-0.987613214,-0.547104872,47,SN
small,W,-1.201491234,-0.567702763,48,SW
small,W,-0.987613214,-0.55211517,49,SW
large,SE,-0.239040141,-0.497558594,50,LS
small,W,-1.041082719,-0.556012068,51,SW
